input_size,hidden_units,dropout,learning_rate,n_ahead,val_split,epochs,verbose,plot,mse,mean_training_loss,std_training_loss,mean_val_loss,std_val_loss
3,100,True,4e-05,5,0.2,20,False,False,0.4503880915930454,0.04083060119301081,0.0053791026757899416,0.016393487388268114,0.00037166666181743776
3,100,False,4e-05,5,0.2,20,False,False,0.46321113919949247,0.039247776940464975,0.006154112417870125,0.016128046531230213,0.000120236966409165
3,"[100, 50]",True,4e-05,5,0.2,20,False,False,0.43057392211932993,0.04066046476364136,0.003005596175151082,0.016328528709709644,0.00019307727118400572
3,"[100, 50]",False,4e-05,5,0.2,20,False,False,0.4294659539211181,0.03904055282473564,0.005570390899813811,0.016417263355106116,0.00015006950226272465
3,"[100, 50, 50]",True,4e-05,5,0.2,20,False,False,0.4489749430417004,0.04094219487160444,0.0039271295110097125,0.016706155985593794,0.00028770514079049566
3,"[100, 50, 50]",False,4e-05,5,0.2,20,False,False,0.427022594629985,0.038996065594255926,0.003478468868666841,0.0165490317158401,4.019665981133078e-05
10,100,True,4e-05,5,0.2,20,False,False,0.4861780901417533,0.04058916959911585,0.008125507958608988,0.015954705793410538,0.0004078114780630162
10,100,False,4e-05,5,0.2,20,False,False,0.48229710523610436,0.03865218199789524,0.0054234609650060965,0.015710318414494395,0.00015250821605280467
10,"[100, 50]",True,4e-05,5,0.2,20,False,False,0.5008496539960455,0.04054782669991255,0.00453800856160278,0.015462333662435412,0.0002741764395814195
10,"[100, 50]",False,4e-05,5,0.2,20,False,False,0.48543825608769586,0.03819646909832954,0.0037555595383517845,0.01545315864495933,0.0001649681585719526
10,"[100, 50, 50]",True,4e-05,5,0.2,20,False,False,0.5302879352665104,0.0402507858350873,0.003557951010304531,0.01536943269893527,0.00019285041120096997
10,"[100, 50, 50]",False,4e-05,5,0.2,20,False,False,0.5067877652952852,0.03841434046626091,0.003525287273352758,0.015373722789809108,0.0001169876210514266
15,100,True,4e-05,5,0.2,20,False,False,0.5089516470907601,0.03748499136418104,0.00856562985187172,0.015986599773168565,0.00039000359262630533
15,100,False,4e-05,5,0.2,20,False,False,0.4932436101675585,0.03504790402948856,0.004928408215182937,0.015605536941438913,0.00022622064173058532
15,"[100, 50]",True,4e-05,5,0.2,20,False,False,0.5245056591197785,0.03745124451816082,0.006181027661352367,0.01534063327126205,0.00022850584848469198
15,"[100, 50]",False,4e-05,5,0.2,20,False,False,0.5046299193995891,0.03487957194447518,0.0040608287195367885,0.015349280275404453,0.00018667270906396814
15,"[100, 50, 50]",True,4e-05,5,0.2,20,False,False,0.5219556284137241,0.03674095757305622,0.0038762847886829304,0.015363546367734671,0.0002681237008719371
15,"[100, 50, 50]",False,4e-05,5,0.2,20,False,False,0.5208215672303458,0.03468522485345602,0.0022330618551201125,0.015288169449195265,0.00011125122936751429
30,100,True,4e-05,5,0.2,20,False,False,0.5008965828563119,0.036463149823248386,0.00442239491747894,0.015121877146884798,0.00020915277790511206
30,100,False,4e-05,5,0.2,20,False,False,0.5011224351072385,0.03446168769150972,0.002374904923315668,0.015019358973950148,0.00014434629593634135
30,"[100, 50]",True,4e-05,5,0.2,20,False,False,0.5178889168715625,0.036655244417488575,0.0042566105204501666,0.015252644382417201,0.00018413520044212553
30,"[100, 50]",False,4e-05,5,0.2,20,False,False,0.515153800329874,0.03531832285225391,0.0037754103946381263,0.015145940054208041,0.00014171767015528817
30,"[100, 50, 50]",True,4e-05,5,0.2,20,False,False,0.5325977471567516,0.03765027839690447,0.003317189176038904,0.015070859948173166,0.0002525873208473883
30,"[100, 50, 50]",False,4e-05,5,0.2,20,False,False,0.5292130464000592,0.03512622807174921,0.002189949499913188,0.015087514044716954,0.00012854686123508758
70,100,True,4e-05,5,0.2,20,False,False,0.5266157095062599,0.03636332154273987,0.004494836409263867,0.015852340823039414,0.0008173454477276321
70,100,False,4e-05,5,0.2,20,False,False,0.5260156961112875,0.03544480614364147,0.004964477845857947,0.016077951062470675,0.000670910795347735
70,"[100, 50]",True,4e-05,5,0.2,20,False,False,0.5368594895013491,0.036592567898333074,0.0048357600692241496,0.01575710908509791,0.0005064973035729191
70,"[100, 50]",False,4e-05,5,0.2,20,False,False,0.5333394456139338,0.03512597773224115,0.0038396230703934184,0.015784564055502416,0.00016522308017242373
70,"[100, 50, 50]",True,4e-05,5,0.2,20,False,False,0.5560175126179974,0.03662144653499126,0.0030752492227334362,0.015794451534748077,0.00025005084231577044
70,"[100, 50, 50]",False,4e-05,5,0.2,20,False,False,0.5366171468190475,0.035107210837304594,0.003060338334335684,0.015633633313700556,4.0547815795109115e-05
